"Zip/Postal Code","Τ.Κ."
"State/Province","Περιοχή"
"Billing address","Διεύθυνση Πληρωμής"
"Already registered? Click here to login.","Είστε ήδη εγγεγραμένος; Κάντε κλικ εδώ για να συνδεθείτε."
"Create an account for later use","Δημιουργήστε ένα λογαριασμό για μελλοντική χρήση"
"Ship to the same address","Η διεύθυνση αποστολής είναι η ίδια"
"Shipping method","Μέθοδος Αποστολής"
"Payment method","Μέθοδος Πληρωμής"
"Review your order","Επισκόπιση παραγγελίας"
"Product","Προϊόν"
"Qty","Ποσότητα"
"Subtotal","Μερικό σύνολο"
"Subscribe to our newsletter","Εγγραφείτε στα δελτία νέων μας"
"Tax","Φόρος"
"Grand total","Τελικό σύνολο"
"Please choose a shipping method.","Παρακαλούμε διαλέξτε μία μέθοδο αποστολής."
"Please choose a payment method.","Παρακαλούμε διαλέξτε μία μέθοδο πληρωμής."
"Please enter valid details below.","Παρακαλούμε εισάγετε έγκυρα στοιχεία παρακάτω."
"Please check red fields below and try again.","Παρακαλούμε ελέγξτε τα κόκκινα πεδιά παρακάτω και προσπαθήστε ξανά."
"Login","Σύνδεση"
"Please login with your email address and password.","Παρακαλούμε συνδεθείτε εισάγωντας τη διεύθυνση email και τον κωδικό σας."
"Email address","Διεύθυνση email"
"Password","Κωδικός"
"Confirm password","Επιβεβαίωση κωδικού"
"Forgotten your password?",""Ξεχάσατε τον κωδικό σας;"
"Close","Κλείσιμο"
"Login","Σύνδεση"
"Please enter a username and password.","Παρακαλούμε εισάγετε ένα όνομα χρήστη και ένα κωδικό."
"Invalid login or password.","Λάθος στοιχεία σύνδεσης."
"Enter your email below and we'll send you a new password by email.","Εισάγετε το email σας παρακάτω και θα σας στείλουμε ένα καινούριο κωδικό μέσω email."
"Send password","Να αποσταλεί ο κωδικός"
"Return to login","Επιστροφή στη σύνδεση"
"Please enter a valid email address","Παρακαλούμε εισάγετε μία έγκυρη διεύθυνση email"
"Please enter a registered email address.","Παρακαλούμε εισάγετε μία καταχωρημένη διεύθυνση email."
"Invalid email address.","Λάθος διεύθυνση email."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Αυτή η διεύθυνση email είναι ήδη καταχωρημένη. Παρακαλούμε <a href=""#"" onclick=""login_popup.show()""; return false;">login now</a> ή χρησιμοποιήστε μία διαφορετική διεύθυνση email."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","Αποδέχομαι τους <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Όρους Χρήσης</a>"
"Comments","Σχόλια"
"You need to have products in your cart to checkout, and your cart is empty.","Χρειάζεται να έχετε προϊόντα στο καλάθι σας. Αυτή τη στιγμή το καλάθι σας είναι άδειο."
"Back to homepage","Πίσω στην αρχική σελίδα"
"Shipping address","Διεύθυνση αποστολής"
"Coupon code:","Κωδικός κουπονιού"
"Apply Coupon","Εφαρμογή Κουπονιού"
"Please enter a valid coupon code.","Παρακαλώ εισάγετε έναν έγκυρο κωδικό κουπονιού"
"Cancel Coupon","Ακύρωση κουπονιού"
"Where did you heard about us?","Where did you heard about us?"
"Please choose the answer","Please choose the answer"
"Other source, please specify ...","Other source, please specify ..."
"So where did you heard about us?","So where did you heard about us?"