"Close","Close"
"Login","Login"
"E-mail address","E-mail address"
"Password","Password"
"Connect with %s","Connect with %s"
"* Required Fields","* Required Fields"
"Forgot Password","Forgot Password"
"Create an Account","Create an Account"
"« Back to Login","« Back to Login"
"Forgot Your Password?","Forgot Your Password?"
"Please enter your email address below. You will receive a link to reset your password.","Please enter your email address below. You will receive a link to reset your password."
"Email Address","Email Address"
"Email Address ","Email Address "
"Submit","Submit"
"Registration","Registration"
"Profile Information","Profile Information"
"More Information","More Information"
"Select Date","Select Date"
"Login Information","Login Information"
"Password confirmation","Password confirmation"
"Confirm Password","Confirm Password"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Terms & Conditions","Terms & Conditions"
"This is not an email address!","This is not an email address!"
"Email address is required!","Email address is required!"
"This email is already registered!","This email is already registered!"
"Password is required!","Password is required!"
"Enter a valid password!","Enter a valid password!"
"Please enter 6 or more characters!","Please enter 6 or more characters!"
"Please enter 16 or less characters!","Please enter 16 or less characters!"
"Captcha is wrong!","Captcha is wrong!"
"Email or Password is wrong!","Email or Password is wrong!"
"Email is invalid !","Email is invalid !"
"Edit Account Information","Edit Account Information"
"Account Information","Account Information"
"Change Password","Change Password"
"Current Password","Current Password"
"New Password","New Password"
"Confirm New Password","Confirm New Password"
"Back","Back"
"Save","Save"
"Edit %1$s Attribute "%2$s"","Edit %1$s Attribute "%2$s""
"New %s Attribute","New %s Attribute"
"New Attribute","New Attribute"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
"Required","Required"
"Yes","Yes"
"No","No"
"Properties","Properties"
"Attribute Properties","Attribute Properties"
"Manage Label / Options","Manage Label / Options"
"Attribute Information","Attribute Information"
"Text Field","Text Field"
"Yes/No","Text Area"
"Date","Date"
"Yes/No","Yes/No"
"Multiple Select","Multiple Select"
"Dropdown","Dropdown"
"Image","Image"
"Input Type","Input Type"
"Values Required","Values Required"
"Input Validation","Input Validation"
"Decimal Number","Decimal Number"
"Integer Number","Integer Number"
"Email","Email"
"Url","Url"
"Letters","Letters"
"Letters(a-zA-Z) or Numbers(0-9)","Letters(a-zA-Z) or Numbers(0-9)"

"social connect","social connect"
"You can login using your social network account.","You can login using your social network account."
"Order","Order"
"order of attribute in form edit/create. Leave blank for form bottom.","order of attribute in form edit/create. Leave blank for form bottom."

"Invalid customer data","Invalid customer data"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>."
"There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account."
"Cannot save the customer.","Cannot save the customer."
"New password has been send to email : ","New password has been send to email : "
"If there is an account associated with %s you will receive an email with a link to reset your password.","If there is an account associated with %s you will receive an email with a link to reset your password."
"You have successfully disconnected your %s account from our store account.","You have successfully disconnected your %s account from our store account."
"Your %s account is already connected to one of our store accounts.","Your %s account is already connected to one of our store accounts."
"Your %1$s account is now connected to your store account. You can now login using our %1$s Connect button or using store account credentials you will receive to your email address.","Your %1$s account is now connected to your store account. You can now login using our %1$s Connect button or using store account credentials you will receive to your email address."
"You have successfully logged in using your %s account.","You have successfully logged in using your %s account."
"We have discovered you already have an account at our store. Your %s account is now connected to your store account.","We have discovered you already have an account at our store. Your %s account is now connected to your store account."
"Sorry, could not retrieve your %s first name. Please try again.","Sorry, could not retrieve your %s first name. Please try again."
"Sorry, could not retrieve your %s last name. Please try again.","Sorry, could not retrieve your %s last name. Please try again."
"Your %1$s account is now connected to your new user accout at our store. Now you can login using our %1$s Connect button or using store account credentials you will receive to your email address.","Your %1$s account is now connected to your new user accout at our store. Now you can login using our %1$s Connect button or using store account credentials you will receive to your email address."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>."
"Unable to retrieve access code.","Unable to retrieve access code."
"Required HTTP method is not supported.","Required HTTP method is not supported."
"Unspecified OAuth error occurred.","Unspecified OAuth error occurred."
"HTTP error %d occurred while issuing request.","HTTP error %d occurred while issuing request."
"No access token available.","No access token available."
"No refresh token, nothing to revoke.","No refresh token, nothing to revoke."
"No refresh token, unable to refresh access token.","No refresh token, unable to refresh access token."
"Unable to retrieve access token.","Unable to retrieve access token."
"Unable to proceeed without an access token.","Unable to proceeed without an access token."

"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Attribute with the same code already exists","Attribute with the same code already exists"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"None","None"
"Alpha","Alpha"
"Slide","Slide"
"Center","Center"
"Below button","Below button"
"Simple","Simple"
"Plastic","Plastic"
"Close Window","Close Window"
"Save Attribute","Save Attribute"
"Delete Attribute","Delete Attribute"