"Zip/Postal Code","Postinumero"
"State/Province","Osavaltio"
"Billing address","Laskutusosoite"
"Already registered? Click here to login.","Oletko jo rekisteröitynyt? Kirjaudu tästä sisään."
"Create an account for later use","Luo asiakastili"
"Ship to the same address","Lähetä samaan osoitteeseen"
"Shipping method","Toimitustapa"
"Payment method","Maksutapa"
"Review your order","Tarkastele tilaustasi"
"Product","Tuote"
"Qty","Kpl"
"Subtotal","Välisumma"
"Subscribe to our newsletter","Tilaa uutiskirje"
"Tax","Vero"
"Grand total","Loppusumma"
"Please choose a shipping method.","Valitse toimitustapa"
"Please choose a payment method.","Valitse maksutapa."
"Please enter valid details below.","Tarkasta tietojen oikeellisuus."
"Please check red fields below and try again.","Tarkista punaisella merkityt kentät."
"Login","Kirjaudu sisään"
"Please login with your email address and password.","Ole hyvä ja kirjaudu sisään käyttäen sähköpostiosoitetta ja salasanaasi."
"Email address","Sähköposti-osoite"
"Password","Salasana"
"Confirm password","Vahvista salasana"
"Forgotten your password?","Unohditko salasanasi?"
"Close","Sulje"
"Login","Kirjaudu sisään"
"Please enter a username and password.","Anna käyttäjätunnus ja salasana."
"Invalid login or password.","Virheellinen käyttäjätunnus tai salasana"
"Enter your email below and we'll send you a new password by email.","Anna sähköpostiosoitteesi, niin lähetämme sinulle uuden salasanan."
"Send password","Lähetä salasana"
"Return to login","Takaisin kirjautumissivulle"
"Please enter a valid email address","Ole hyvä ja tarkista sähköpostiosoite."
"Please enter a registered email address.","Anna rekisteröity sähköpostiosoite."
"Invalid email address.","Virheellinen sähköpostiosoite."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Sähköpostiosoite on jo rekisteröity kauppaan. Ole hyvä ja <a href=""#"" onclick=""login_popup.show(); return false;"">kirjaudu tästä sisään</a> tai käytä toista sähköpostiosoitetta."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","Hyväksyn <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">toimitusehdot</a>"
"Comments","Kommentit"
"You need to have products in your cart to checkout, and your cart is empty.","Ostoskorissasi pitää olla tuotteita edetäksesi."
"Back to homepage","Takaisin etusivulle"
"Please check red fields below and try again.","Tarkista punaisella merkityt kentät ja yritä uudelleen"
"Coupon code:","Alennuskoodi:"
"Apply Coupon","Käytä"
"Please enter a valid coupon code.","Virheellinen alennuskoodi."
"Cancel Coupon","Peruuta"
"Shipping address","Toimitusosoite"
"Where did you heard about us?","Where did you heard about us?"
"Please choose the answer","Please choose the answer"
"Other source, please specify ...","Other source, please specify ..."
"So where did you heard about us?","So where did you heard about us?"